Front	Back	Tags
What typeclass usually supplies `≤`?	<p><code>LE α</code> supplies the notation, but theorems about order usually require richer classes such as <code>Preorder α</code>, <code>PartialOrder α</code>, <code>LinearOrder α</code>, or lattice classes.</p>	mathlib order typeclasses
What is the usual shape of an upper bound predicate?	<pre><code>∀ x, x ∈ s → x ≤ a</code></pre><p>In Mathlib vocabulary this often appears through <code>BddAbove s</code>, <code>upperBounds s</code>, or custom predicates like <code>IsUpperBound a s</code>.</p>	mathlib bounds order
What is the usual shape of a lower bound predicate?	<pre><code>∀ x, x ∈ s → a ≤ x</code></pre><p>The direction of <code>≤</code> is the main thing to watch.</p>	mathlib bounds order
What does `BddAbove s` mean?	<p>It means the set <code>s</code> has at least one upper bound.</p><p>Conceptually:</p><pre><code>∃ a, ∀ x, x ∈ s → x ≤ a</code></pre>	mathlib bounds bddabove
What does `BddBelow s` mean?	<p>It means the set <code>s</code> has at least one lower bound.</p><p>Conceptually:</p><pre><code>∃ a, ∀ x, x ∈ s → a ≤ x</code></pre>	mathlib bounds bddbelow
What does `IsLUB s a` mean?	<p><code>a</code> is a least upper bound of <code>s</code>: it is an upper bound, and every other upper bound is above it.</p><p>Conceptually:</p><pre><code>(∀ x, x ∈ s → x ≤ a) ∧ ∀ b, (∀ x, x ∈ s → x ≤ b) → a ≤ b</code></pre>	mathlib bounds supremum
What does `IsGLB s a` mean?	<p><code>a</code> is a greatest lower bound of <code>s</code>: it is a lower bound, and every other lower bound is below it.</p><p>Conceptually:</p><pre><code>(∀ x, x ∈ s → a ≤ x) ∧ ∀ b, (∀ x, x ∈ s → b ≤ x) → b ≤ a</code></pre>	mathlib bounds infimum
What is `sSup s`?	<p><code>sSup s</code> is the supremum of a set in a type with enough order structure, often a complete lattice or conditionally complete lattice. It is notation-backed by <code>Sup</code>.</p>	mathlib bounds supremum complete-lattice
What is `sInf s`?	<p><code>sInf s</code> is the infimum of a set in a type with enough order structure, often a complete lattice or conditionally complete lattice. It is notation-backed by <code>Inf</code>.</p>	mathlib bounds infimum complete-lattice
What is the proof pattern for `IsLUB`?	"<p>Split the conjunction:</p><pre><code>constructor
· intro x hx
  -- prove x ≤ a
· intro b hb
  -- prove a ≤ b</code></pre>"	mathlib bounds proof-patterns
